name	iso 639-3	iso 639-2	iso 639-1	gost 7.75-97	code
Афарский	aa	aar	aar	афа	068
Абхазский	ab	abk	abk	абх	010
Абазинский			abq	аба	005
Ачехский		ace	ace	аче	076
Ачоли		ach	ach	ачо	077
Адангме		ada	ada	ада	018
Адыгейский		ady	ady	ады	020
Африхили		afh	afh	афх	073
Африкаанс	af	afr	afr	афр	070
Ассирийский			aii	асе	065
Айну		ain	ain		
Акан	ak	aka	aka	ака	027
Аккадский		akk	akk	акк	028
Ахвахский		akv	akv	ахв	074
Алеутский		ale	ale	але	033
Алтайский		alt	alt	алт	035
Амхарский	am	amh	amh	амх	040
Староанглийский		ang	ang	ста	623
Арабский	ar	ara	ara	ара	050
Арамейский		arc	arc	аре	052
Арауканский		arn	arn	арн	054
Арапахо		arp	arp	арп	053
Аравакский		arw	arw	арв	051
Ассамский	as	asm	asm	аса	060
Атапачские			ath	ата	067
Аварский	av	ava	ava	ава	014
Авестийский	ae	ave	ave	аве	016
Авадхи		awa	awa	авд	012
Аймара	ay	aym	aym	айм	026
Азербайджанский	az	aze	aze	азе	025
Банда		bad	bad	бан	082
Башкирский	ba	bak	bak	баш	086
Белуджский		bal	bal	беу	095
Бамбара	bm	bam	bam	бам	080
Балийский		ban	ban	бал	078
Баса		bas	bas	бас	084
Беджа		bej	bej	бед	087
Белорусский	be	bel	bel	бел	090
Бемба		bem	bem	бем	097
Бенгальский	bn	ben	ben	бен	100
Бходжпури		bho	bho	бхо	126
Бикольский		bik/ bcl	bik	бик	103
Бини		bin	bin	бин	104
Бислама	bi	bis	bis	бис	107
Сиксика		bla	bla	сик	598
Тибетский	bo	bod/tib	bod	тиб	680
Боснийский	bs	bos	bos	бос	
Бретонский	br	bre	bre	бре	120
Брауи			brh	бра	117
Бурятский		bua	bua	бур	125
Бугийский		bug	bug	буг	123
Болгарский	bg	bul	bul	бол	115
Каддо		cad	cad	кад	254
Кариб		car	car	кар	288
Каталанский	ca	cat	cat	кат	290
Себуано		ceb	ceb	себ	587
Чешский	cs	ces/cze	ces	чеш	790
Чаморро	ch	cha	cha	чам	782
Чибча		chb	chb	чиб	792
Чеченский	ce	che	che	чеч	785
Чагатайский		chg	chg	чаг	781
Трукский			chk	тру	687
Марийский (черемисский)		chm	chm	мач	445
Чинук жаргон		chn	chn	чин	793
Чоктав		cho	cho	чок	794
Чероки		chr	chr	чер	784
Церковнославянский (Старославянский)	cu	chu	chu	цер	777
Чувашский	cv	chv	chv	чув	795
Шайенн (Чейенн)		chy	chy	чей	783
Шорский			cjs	шор	810
Чукотский			ckt	чук	800
Коптский		cop	cop	коп	328
Корнский	kw	cor	cor	кор	332
Корсиканский	co	cos	cos	кос	334
Крымско-татарский		crh	crh	кры	347
Валлийский	cy	cym/wel	cym	вал	130
Дакота		dak	dak	дак	173
Датский	da	dan	dan	дат	178
Даргинский			dar	даг	175
Делавэрский		del	del	дел	179
Немецкий	de	deu/ger	deu	нем	481
Динка		din	din	дин	181
Дивехи (Мальдивский)	dv	div	div	див	180
Дунганский			dng	дун	191
Догри		doi	doi	дои	184
Дуала		dua	dua	дуа	190
Нидерландский средневековый		dum	dum	нис	496
Диула (Дьюла)		dyu	dyu	диу	182
Дзонг-кэ	dz	dzo	dzo	дзо	183
Эфик		efi	efi	эфи	852
Древнеегипетский		egy	egy	дре	187
Экаджук		eka	eka	эка	833
Греческий (новогреческий)	el	ell/gre	ell	гре	157
Эламский		elx	elx	эла	834
Английский	en	eng	eng	анг	045
Среднеанглийский		enm	enm	сра	619
Эсперанто	eo	epo	epo	эсп	845
Эстонский	et	est	est	эст	850
Баскский	eu	baq/eus	eus	бак	085
Эвенский			eve	эвн	830
Эвенкийский (тунгусский)			evn	эвк	825
Эве	ee	ewe	ewe	эве	820
Эвондо		ewo	ewo	эво	832
Фанг		fan	fan	фан	732
Фарерский	fo	fao	fao	фар	735
Персидский	fa	fas/per	fas	пер	535
Фанти		fat	fat	фат	733
Фиджи	fj	fij	fij	фид	737
Филиппинский	fl	fil	fil	таг	636
Финский (Suomi)	fi	fin	fin	фин	740
